id;name;photo;born_mo;born_da;born_ye;born_bc;bornPlace;nationality;ethnicity;religion;education;career;titles;awards;died_mo;died_da;died_ye;died_bc;diedPlace;politicalParty;dob;aged;nationality;intro;activity
1848829;Thomas Denman;https://prabook.com/web/*/1848829;November;16;1874;;London, Greater London, United Kingdom;United Kingdom;;;"""Royal Military College//Sandhurst""";;;"Knight Commander of the Royal Victorian Order; Knight Grand Cross of the Order of St Michael and St George";June;24;1954;;;;November 16, 1874;79;United Kingdom;Thomas Denman, 3rd Baron Denman GCMG, KCVO, PC was a British Liberal politician and the fifth of Australia. Thomas Denman, 1st Baron Denman, Lord Chief Justice of the King's Bench, was his great-grandfather. He continued his military career in the ...;politician,governor
1849085;Thomas Seddon;https://prabook.com/web/*/1849085;July;2;1884;;Kumara;New Zealand;;;"""Victoria University of Wellington""";;;King George V Silver Jubilee Medal;January;22;1972;;;The Liberal Party;July 2, 1884;87;New Zealand;"Thomas Edward Youd ""Tom"" Seddon was a New Zealand politician of the Liberal Party, and a lawyer in Greymouth. Guests at the wedding included Robert Loughnan, Joseph Grimmond, George Fowlds, and Joseph Ward. He inherited the Westland electorate on the ...";politician
1849372;Thomas Fairfax;https://prabook.com/web/*/1849372;April;16;1657;;;United Kingdom;;;"""Magdalen College""";;;;;;;;;Tories;April 16, 1657;52;United Kingdom;Thomas Fairfax, 5th Lord Fairfax of Cameron was an English politician. In 1688, he was Colonel of the Yorkshire Militia, under Sir Thomas Osborne, Earl of Danby. In 1704 Fairfax obtained from Queen Anne a patent to search for wrecks and treasure in ...;politician
1849572;Thomas Francis;https://prabook.com/web/*/1849572;November;29;1853;;New York City;United States of America;;;"""New York University School of Law""";;;;February;3;1912;;;Democratic Party;November 29, 1853;58;United States;"Thomas Francis Grady was an American lawyer and politician from New New York Then he worked for Doctorate. Appleton & Company, was Recording Clerk in the County Clerk""s office in 1874, and began to study law. Then he worked in the Corporation ...";politician,lawyer
1849821;Thomas Gascoigne;https://prabook.com/web/*/1849821;March;7;1745;;Cambrai;;;;;;Baronet;;;11;1810;;;;March 7, 1745;64;;Sir Thomas Gascoigne, 8th Baronet was born in Cambrai, the third son of Sir Edward Gascoigne, 6th Baronet and a member of the Gascoigne family. He supported the cause of American Independence and built a commemorative arch to the American Victory in ...;politician
1849994;Thomas Goodwin Turner;https://prabook.com/web/*/1849994;October;24;1810;;Warren, Bristol County, Rhode Island, United States;American;;;;;;;January;3;1875;;;Republican Party;October 24, 1810;64;American;Thomas Goodwin Turner was an American politician and businessman who was the 26th Governor of Rhode Island 1859-1860. He started work as a clerk in a dry goods store at the age of 14, in Newport, Rhode Island. He was self-educated, and returned to ...;politician,governor
1850079;Thomas Grenville;https://prabook.com/web/*/1850079;December;31;1755;;Carlisle, United Kingdom;United Kingdom;;;"""Eton College""";;;;December;17;1846;;London, Greater London, United Kingdom;;December 31, 1755;90;United Kingdom;Thomas Grenville Personal Computer was a British politician and bibliophile. In 1778, he was commissioned ensign in the Coldstream Guards and in 1779 promoted a lieutenant in the 80th Regiment of Foot, but resigned his commission in 1780. In 1798, he ...;politician,diplomat,president
1850099;Thomas Grosvenor;https://prabook.com/web/*/1850099;March;30;1764;;;United Kingdom;;;"""Westminster School""";;;;January;20;1851;;;;March 30, 1764;86;United Kingdom;Field Marshal Thomas Grosvenor was a British Army officer He served as a brigade commander at the Battle of Copenhagen and was then deployed to Walcheren in the Netherlands where he served as deputy commander of a division led by Sir Eyre Coote ...;politician,marshal
1850390;Thomas Henry;https://prabook.com/web/*/1850390;;;1820;;Minerva, Mason;American;;;;;;;;;1896;;Terre Haute;Republican Party;1820;76;American;Thomas Henry Nelson was a United States. diplomat and politician from Indiana. She was a student of Harriet Beecher Stowe. The Nelsons moved to Rockville, Indiana, where he set up a law practice. A few years later, the couple moved to Terre Haute, ...;politician,diplomat,lawyer
1850436;Thomas Davey;https://prabook.com/web/*/1850436;;;1856;;Liskeard in south east Cornwall, England;New Zealand;;;;;;;April;5;1934;;;The Liberal Party;1856;78;New Zealand;Thomas Henry Davey was a New Zealand for the electorates of City of Christchurch and Christchurch East. He learned the trade of printing. They lived in Feilding (where he worked as a saw miller), Wellington (where he worked for the Government ...;politician
1850553;Thomas Hill;https://prabook.com/web/*/1850553;January;3;1819;;Greenville, Butler County, United States of America;American;;;"""University of Virginia""";;;;August;16;1892;;;Democratic Party;January 3, 1819;73;American;Thomas Hill Watts was the 18th Governor of the U.S. state of Alabama from 1863 to 1865, during the Civil War. He was of English and Welsh ancestry. He passed the bar examination the next year, and began practicing law in Greenville. In 1848 he moved ...;politician,governor
1850657;Thomas Hourston;https://prabook.com/web/*/1850657;February;12;1854;;Birsay, Orkney, Scotland;Canada;;;;;;;April;11;1905;;;;February 12, 1854;51;Canada;Thomas Hourston was a politician from Alberta, Canada and a municipal councillor in Edmonton. Once in Edmonton, he became manager of Norris & Carey, the store co-owned by Edward Carey. He later opened a fur store and started the area's first dairy ...;politician,councillor
1850673;Thomas Howard;https://prabook.com/web/*/1850673;April;2;1833;;Lima, New York, Livingston County, United States of America;American;;;"""United States Military Academy""";;;;June;3;1907;;;;April 2, 1833;74;American;Thomas Howard Ruger was an American soldier and lawyer who served as a Union general in the American. After the war, he was a superintendent of the United States Military Academy at West Point, New York. He resigned in 1855 to become a lawyer in ...;politician,governor,officer
1850682;Thomas Idris;https://prabook.com/web/*/1850682;August;5;1842;;;United Kingdom;;;;;;;February;10;1942;;;Liberal Party;August 5, 1842;99;United Kingdom;Thomas Howell Williams Idris, known as Howell Idris, was a Welsh Liberal Party politician and chemical manufacturer. Born Pembrokeshire, 2nd s of Benjamin Williams. Assumed additional surname of Idris by deed poll, 1893. M 1873, Emeline, d of John ...;politician
1858803;Isaac Isaac Holden;https://prabook.com/web/*/1858803;March;7;1807;;Hurlet, United Kingdom;United Kingdom;;;;;Baronet;;August;13;1897;;Oakworth, United Kingdom;;March 7, 1807;90;United Kingdom;Sir Isaac Holden, 1st Baronet was an inventor and manufacturer, who is known both for his work in developing the Square Motion wool-combing machine with wool-combing and as a Radical Liberal Member of Parliament. He was largely self-educated: his ...;politician,manufacturer
1858823;James Aikins;https://prabook.com/web/*/1858823;December;10;1851;;Province of Canada;Canada;;;"""Upper Canada College""//""University of Toronto""";;;;March;1;1929;;;Conservative Party;December 10, 1851;77;Canada;Sir James Albert Manning Aikins, K.C., was a politician in Manitoba, Canada. He was the leader of the Manitoba Conservative Party in the provincial election of 1915, and later served as the province's ninth Lieutenant Governor. From 1879 to 1896, ...;politician,congressman,governor
1858825;James Lindsay;https://prabook.com/web/*/1858825;August;25;1815;;;United Kingdom;;;"""Eton College""";;;Knight Commander of the Order of Street Michael and Street George;August;13;1874;;;Conservative Party;August 25, 1815;58;United Kingdom;Lieutenant-General Sir James Alexander Lindsay Knight Commander of the Order of Street Michael and Saint George was a British Army officer, Conservative Party politician, and member of Clan Lindsay. Educated at Eton, Lindsay was commissioned an ...;politician
1858828;James Heading;https://prabook.com/web/*/1858828;January;26;1884;;;Australia;;;;;;;April;9;1969;;;Country Party member;January 26, 1884;85;Australia;Sir James Alfred Heading was an Australian politician. He was the Country Party member of the Legislative Assembly of Queensland for Wide Bay from 1947 to 1950 and for Marodian from 1950 to 1960.;politician
1858936;James Falshaw;https://prabook.com/web/*/1858936;March;21;1810;;Leeds;British;;;;;Baronet;;June;14;1889;;;;March 21, 1810;79;British;Sir James Falshaw, 1st Baronet JP, DL, FRSE , was a British railway engineer and politician. He was the sixth of fourteen children. The family later lived in Caverdale in the North Riding of Yorkshire. There he befriended John Hawkshaw (later Sir John ...;politician,chairman,railway engineer
1858953;James Wilson;https://prabook.com/web/*/1858953;November;29;1849;;;New Zealand;;;;;;;March;3;1929;;;;November 29, 1849;79;New Zealand;Sir James Glenny Wilson was a New Zealand politician and farmer. He emigrated to Victoria in 1870 and worked on a sheep run. She was born in 1848 at Greenvale, Victoria. He went to New Zealand in January 1873 and purchased a large block of rough land ...;politician
1859007;James MacBain;https://prabook.com/web/*/1859007;April;19;1828;;Kinrives, Ross, Scotland;;;;;;;;November;4;1892;;Toorak, Victoria, Australia;;April 19, 1828;64;;Sir James MacBain Knight Commander of the Order of Street Michael and Saint George, was a politician in colonial Victoria, President of the Victorian Legislative Council. He served a business apprenticeship in Inverness. Immediately afterwards ...;politician
1859095;James Sandford;https://prabook.com/web/*/1859095;March;20;1879;;Footscray, Victoria;Australia;;;;;;Order of Vasa The Royal Order of Vasa (Kungliga Vasaorden) isThe Royal Order of Vasa (Kungliga Vasaorden) is a Swedish order of chivalry, awarded to citizens of Sweden for service to state and society especially in the fields of agriculture, mining and commerce.;July;9;1958;;;;March 20, 1879;79;Australia;Sir James Wallace Sandford , usually referred to as J. Wallace Sandford and later as simply Wallace Sandford, was a businessman and politician in the State of South Australia. They moved to Adelaide in 1980, where the dairy products business of A. W.;politician,businessman,director
1859104;James Greig;https://prabook.com/web/*/1859104;January;31;1859;;;United Kingdom;;;"""University College London""";;;Companion of the Order of the Bath;June;10;1934;;;Liberal Party;January 31, 1859;75;United Kingdom;"Colonel Sir James William Greig Central Bank, KC, VD was a British barrister and Liberal Party politician. He sat in the House of Commons from 1910 to 1922. Greig was called to the bar at Lincoln""s Inn in 1882, and pracised at the Parliamentary Bar ...";politician
1859157;John Baker;https://prabook.com/web/*/1859157;;;1828;;;United Kingdom;;;;;;;November;9;1909;;;Liberal Party;1828;81;United Kingdom;Sir John Baker was a Liberal Party politician in the United Kingdom. He was re-elected at the 1906 general election, but died in office in 1909, aged 81. Number by-election was held for his seat before Parliament was dissolved for the January 1910 ...;politician
1859182;John Bowser;https://prabook.com/web/*/1859182;September;2;1856;;Islington, London Borough of Islington, United Kingdom;Australia;;;;;;;June;10;1936;;Victoria, Australia;The Liberal Party;September 2, 1856;79;Australia;Sir John Bowser, Australian politician, was the 26th Premier of Victoria. As a young man he went to Scotland and worked on newspapers while studying at Edinburgh University. Returning to Australia, he settled in Wangaratta, where he farmed and managed ...;politician
1859248;John Sir;https://prabook.com/web/*/1859248;October;26;1826;;Cork, County Cork, Ireland;United Kingdom;;;;;;"Fellow of the Royal Society; Knight Commander of the Order of the Bath";February;11;1904;;;;October 26, 1826;77;United Kingdom;Sir John Denis Macdonald was a surgeon and fellow of the Royal Society of London. He was Alderman for Candlewick ward from 1889 to 1902. He was appointed Sheriff of the City of London for 1894 and elected Lord Mayor of London for 1898. In 1894 he ...;politician,businessperson
1859305;John John Germain;https://prabook.com/web/*/1859305;;;1650;;;United Kingdom;;;;;Baronet;;December;;1718;;;;1650;69;United Kingdom;Sir John Germain, 1st Baronet was a British soldier and politician. Of Dutch descent, Germain was thought to be an illegitimate half-brother of William III of England. He was created a baronet in the Baronetage of England on 25 March 1698. His affair ...;politician
1859311;John Godsalve;https://prabook.com/web/*/1859311;;;1505;;;English;;;;;;;November;20;1556;;;;1505;51;English;"Sir John Godsalve, of London and Norwich, Norfolk, was an English politician. He was also a Clerk of the Signet. Godsalve""s first wife was Agnes Widmerpole, with whom he had two sons, William (ca 1530–1561) and Thomas (died 1587). Godsalve""s second ...";politician
1859415;John Mellor;https://prabook.com/web/*/1859415;January;1;1809;;Hollinwood, Oldham;United Kingdom;;;;;;;April;26;1887;;Kingsdown, Kent;;January 1, 1809;78;United Kingdom;"Sir John Mellor was an English judge and Member of Parliament. As a young man, his Unitarian beliefs prevented him attending university. He entered law, becoming Queen""s Counsel in 1833. Following failed attempts in 1852 (at Warwick) and 1857 (at ...";politician,judge
1859498;John John Shelley;https://prabook.com/web/*/1859498;December;18;1771;;England;United Kingdom;;;;;Baronet;;March;14;1849;;England;;December 18, 1771;77;United Kingdom;Sir John Shelley, 6th Baronet was an English amateur cricketer who made 10 known appearances in first-class cricket matches from 1792 to 1795. He was also a notable breeder of Thoroughbred racehorses including the Epsom Derby winners Phantom (1811), ...;politician
1859545;John Thwaites;https://prabook.com/web/*/1859545;March;24;1815;;;British;;;;;;;August;8;1870;;;The Liberal Party;March 24, 1815;55;British;Sir John Thwaites was a British politician who was the first Chairman of the Metropolitan Board of Works and therefore the first Leader of local government in London. In 1842, he left to establish his own company at 18 Blackman Street in The Borough.;politician,chairman
1859596;John Luke;https://prabook.com/web/*/1859596;July;16;1858;;;New Zealand;;;;;;Companion of the Order of Street Michael and Street George;March;13;1931;;;New Zealand Liberal Party;July 16, 1858;72;New Zealand;Sir John-Pearce Luke Chipotle Mexican Grill was a New Zealand politician. Sir John Pearce was nicknamed Peanut because he was short. After initially struggling the business was successful and constructed several steamships. Luke was first elected to ...;politician
1859600;Frederick Jonathan Frederick Pollock;https://prabook.com/web/*/1859600;September;23;1783;;Charing Cross, City of Westminster, United Kingdom;United Kingdom;;;Trinity College;;Baronet;Fellow of the Royal Society;August;28;1870;;;Tories;September 23, 1783;86;United Kingdom;Sir Jonathan Frederick Pollock, 1st Baronet, Personal Computer was a British lawyer and Tory politician. He was Senior Wrangler at Cambridge University. He served as Attorney General between 1834 and 1835 and 1841 and 1844 in the Tory administrations ...;politician
1859749;Louis Straker;https://prabook.com/web/*/1859749;February;;1944;;Layou;Saint Vincent and the Grena;;;;;;Knight Commander of the Order of St Michael and St GeorgeOrder of St Michael and St George The Most Distinguished Order of Saint Michael aThe Most Distinguished Order of Saint Michael and Saint George is a British order of chivalry founded on 28 April 1818 by George, Prince Regent, later King George IV, while he was acting as Prince Regent for his father, King George III.;;;;;;;February 23, 1944;;Saint Vincent;Sir Louis Hilton Straker, KCMG is the deputy prime minister and foreign minister of Saint Vincent and the Grenadines. He has been deputy prime minister since 2001. He was the minister of foreign affairs, commerce and trade from 2001 to May 17, 2005 ...;politician,diplomat
1860137;Philip Mainwaring;https://prabook.com/web/*/1860137;;;1589;;;English;;;;;;;August;2;1661;;;;1589;72;English;"Sir Philip Mainwaring was an English politician who sat in the House of Commons variously between 1625 and 1661. He was admitted at Gray""s Inn on 14 March 1609, and matriculated at Cambridge from Brasenose College, Oxford on 29 August 1610. He was ...";politician
1860480;Robert Macfarlane;https://prabook.com/web/*/1860480;March;17;1900;;Christchurch;New Zealand;;;;;;Knight Commander of the Order of St Michael and St GeorgeOrder of St Michael and St George The Most Distinguished Order of Saint Michael aThe Most Distinguished Order of Saint Michael and Saint George is a British order of chivalry founded on 28 April 1818 by George, Prince Regent, later King George IV, while he was acting as Prince Regent for his father, King George III.;December;;1982;;;New Zealand Labour Party;March 17, 1900;82;New Zealand;Sir Robert Mafeking Macfarlane Knight Commander of the Order of Street Michael and Saint George was a New Zealand politician of the Labour Party. Macfarlane was on the Christchurch City Council (1927-1929, 1936-1941, 1947-1959, and 1961-1981), and ...;politician
1860804;Thomas Sir;https://prabook.com/web/*/1860804;November;21;1868;;Edinburgh, United Kingdom;United Kingdom;;;"""University of Edinburgh""";;;;July;28;1945;;;;November 21, 1868;76;United Kingdom;Sir Thomas Brash Morison was a Scottish politician and judge. He went to Edinburgh University where he obtained Master of Arts and LL.D degrees. He was called to the bar in Scotland in 1891 and then in England in 1899. He took silk in October ...;politician,judge
1860868;Thomas Thomas Fowell Buxton;https://prabook.com/web/*/1860868;January;26;1837;;London, Greater London, United Kingdom;United Kingdom;;;;;Baronet;Knight Grand Cross of the Order of Street Michael and Street George;October;;1915;;Cromer, England, United Kingdom;;January 26, 1837;78;United Kingdom;"Sir Thomas Fowell Buxton, 3rd Baronet, Knight Grand Cross of the Order of Street Michael and Street George Doctor of Laws, commonly referred to as ""Sir Fowell Buxton"", was the Governor of South Australia from 29 October 1895 until 29 March 1899. She ...";politician
1860914;Thomas Sidey;https://prabook.com/web/*/1860914;March;27;1863;;Dunedin suburb of Corstorphine;New Zealand;;;;;;;March;20;1933;;;The Liberal Party;March 27, 1863;69;New Zealand;Sir Thomas Kay Sidey was a New Zealand politician from the Otago region, remembered for his successful advocacy of daylight saving time. In the following decade, he worked as a solicitor. They had one son. He was elected Mayor of Caversham on three ...;politician
1860938;Thomas Malet;https://prabook.com/web/*/1860938;;;1582;;;;;;;;;;;;1665;;;;1582;83;;Sir Thomas Malet was an English judge and politician who sat in the House of Commons between 1614 and 1628. He was Solicitor general to Queen Henrietta Maria. Malet was of Poyntington, Somerset and also inherited lands in Somerset known as Street ...;politician,judge
1860985;Thomas Richardson;https://prabook.com/web/*/1860985;December;28;1846;;;United Kingdom;;;;;;;March;22;1906;;;Liberal Party member;December 28, 1846;59;United Kingdom;Sir Thomas Richardson was an English Liberal Unionist politician. Richardson stood unsuccessfully for Parliament in The Hartlepools at the 1892 general election, losing by a narrow margin of 76 votes (less than 1% of the total) to the sitting Liberal ...;politician
1861006;Thomas Thomas Troubridge;https://prabook.com/web/*/1861006;;;1758;;London, Greater London, United Kingdom;United Kingdom;;;"""St. Paul's School""";;Baronet;the gold medal;February;1;1807;;;;1758;49;United Kingdom;Sir Thomas Troubridge, 1st Baronet was a British naval commander and politician. He entered the Royal Navy in 1773 and, together with Horatio Nelson, served in the East Indies in the frigate Seahorse. In 1785 he returned to England in the Sultan as ...;politician
1861081;Walter Walter Barttelot;https://prabook.com/web/*/1861081;October;10;1820;;;;;;;;Baronet;Companion of the Order of the Bath;;;;;;Conservative Party;October 10, 1820;72;United Kingdom;Sir Walter Barttelot, 1st Baronet, Central Bank was a Conservative Party politician in the United Kingdom who served as Member of Parliament for several constituencies. In December 1860 he was elected as a member for West Sussex, which he served ...;politician
1861214;William Cordell;https://prabook.com/web/*/1861214;;;1522;;;;;;;;;;;;1581;;;;1522;59;;Sir William Cordell was Solicitor General and Master of the Rolls during the reign of Queen Mary I and Speaker of the House of Commons during the reign of Queen Elizabeth I. Following the dissolution of the Monasteries, granted the manor of Long ...;politician,judge
1861376;William Mohun;https://prabook.com/web/*/1861376;;;1540;;;English;;;;;;;April;6;1588;;;;1540;48;English;Sir William Mohun was an English politician. He was appointed sheriff of Cornwall for 1572 and 1578, knighted in 1583, and then re-elected Member of Parliament for Cornwall again in 1584 and 1586. He served as Lord Lieutenant of Cornwall from 8 ...;politician
1861415;William William Reynell Anson;https://prabook.com/web/*/1861415;November;14;1843;;Walberton, West Sussex, United Kingdom;United Kingdom;;;"""Balliol College""//""Eton College""";;Baronet;;June;4;1914;;Oxford, Oxfordshire, United Kingdom;Liberal Unionist;November 14, 1843;70;United Kingdom;Sir William Reynell Anson, 3rd Baronet Personal Computer, Doctor of Laws was a British jurist and Liberal Unionist politician from the Anson family. Educated at Eton and Balliol College, Oxford, he took a first class in the final classical schools in ...;politician
1861522;Sirajuddin Hamid Yousuf;https://prabook.com/web/*/1861522;;;1953;;;;;;"""University of Pretoria""";;;;;;;;;;1953;;;Sirajuddin Hamid Yousuf is a Sudanese diplomat and is the current Ambassador Extraordinary and Plenipotentiary of the Republic of Sudan to the Russian Federation, presenting his credentials to President of Russia Dmitry Medvedev on 16 January 2009.;politician,diplomat
1862193;Slim Riahi;https://prabook.com/web/*/1862193;July;13;1972;;Bizerte, Bizerte Governorate, Tunisia;Tunisia;;;"""University of Tripoli""";;;;;;;;;Free Patriotic Union;July 13, 1972;;Tunisia;Slim Riahi is a Tunisian businessman and politician. Slim Riahi grew up in Libya. Then, he engaged in the oil production, energy, aviation and property development industries, which acquired him great wealth, worth billions. Later, he moved to ...;politician,entrepreneur
1862664;Sofia Voultepsi;https://prabook.com/web/*/1862664;March;16;1949;;Piraeus, Greece;Greece;;;"""Law Faculty of the University of Athens""//""National and Kapodistrian University of Athens""";;;;;;;;;New Democracy;March 16, 1949;;Greece;Sofia Voultepsi is a Greek journalist, politician and a member of the Hellenic Parliament for New Democracy. She has been the Deputy Minister to the Prime Minister and the government spokesperson of Greece. She was born in Piraeus and studied law at ...;politician,journalist
1862863;Sokrat Dodbiba;https://prabook.com/web/*/1862863;;;1899;;Elbasan, Ottoman Empire;Albania;;;"""University of Vienna""";;;;;;1956;;Burrel prison, People's Socialist Republic of Albania;;1899;56;Albanian;Sokrat Dodbiba was an Albanian economist and politician who served as Minister of Finance of Albania during 1943-44. He took his first lessons in his neighborhood's school, first in Greek language, later in Albanian. In 1921, he went to Vienna to ...;politician,economist,minister of finance
1862977;Solomon Andrews;https://prabook.com/web/*/1862977;;;1806;;;American;;;;;;;;;1872;;;;1806;65;American;Dr. Solomon Andrews was an aviator and dirigible airship inventor. The difference of specific gravity between the balloon and the surrounding atmosphere could be converted by a system of inclined planes to steer the craft, without a motor. He ...;politician,inventor,physician,balloonist
1863126;Solomon Weathersbee Weathersbee Downs;https://prabook.com/web/*/1863126;;;1801;;Montgomery County, Tennessee, United States of America;American;;;"""Transylvania University""";;;;August;14;1854;;Lincoln County, Kentucky, United States of America;Democratic Party;1801;53;American;"Solomon Weathersbee Downs, American senator, lawyer. member La; member United States Senate (Democrat) from La. He moved to Ouachita, Louisiana and then to New Orleans in 1845, where he engaged in the practice of law and was a successful planter. He ...";politician,farmer,lawyer,senator
1863156;Solon Chase;https://prabook.com/web/*/1863156;;;1823;;Chase's Mill area of Turner, Maine;American;;;;;;;November;23;1909;;;Greenback Party;1823;86;American;Solon Chase was an American farmer, orchardist, politician and newspaper publisher from Maine. Chase served two single year terms in the Maine House of Representatives. In 1873, an economic depression began and Chase joined the national Greenback ...;politician,farmer,newspaper editor
1863463;Song Jin-woo;https://prabook.com/web/*/1863463;March;8;1889;;;Korea;;;"""Waseda University""";;;;December;30;1945;;;Korea Democratic Party;March 8, 1889;56;Korea;Song Jin-woo was a Korean journalist, politician, independence activist, and social activist. His nickname was Goha (??, ??). He was killed by Baikuisa, a South Korean terrorist group. Waseda University. He was the 3rd, 6th and 8th CEO of The Dong-a ...;politician,journalist
1864243;Sopubek Begaliev;https://prabook.com/web/*/1864243;;;1931;;Chong-Tash, Kyrgyzstan;Kyrgyzstan;;;;;;"Order of the Red Banner of Labour; Medal ""For Distinguished Labour""; Medal ""Veteran of Labour""; Order of FriendshipOrder of the Red Banner of Labour; Order of Friendship; Order of Manas";October;9;2002;;Bishkek, Kyrgyzstan;;March 29, 1931;71;Kyrgyzstan;Sopubek Begaliev was a Soviet-era economist and politician. Through his efforts, Begaliev worked to lay the foundation for a strong and peaceful society in the country. Other Newly Independent States have since followed the Kyrgyz example. Soviet ...;politician,economist
1864381;Sotir Peci;https://prabook.com/web/*/1864381;July;13;1873;;Dardh?;Albania;;;;;;;April;10;1932;;Florina, Florina Prefecture, Greece;;July 13, 1873;58;Albania;Sotir Pe?i was an Albanian politician, educator and mathematician. In 1906 he published the first Albanian-language newspaper in the United States of America in Boston. In 1908 he participated as a delegate in the Congress of Monastir. In 1920 he was ...;politician,journalist
1864919;Spiros Spyromilios;https://prabook.com/web/*/1864919;;;1864;;Himar?, Vlor? District, Albania;Greece;;;;;;;March;19;1930;;Athens, Athens Municipality, Greece;;1864;66;Greece;Spyros Spyromilios was a Greek Gendarmerie officer who took part in the Greek struggle for Macedonia and the Balkan Wars. In 1914 proclaimed the Autonomy of his native town, Himara, and joined the autonomist struggle of Northern Epirus against its ...;politician,colonel,military personnel
1865359;Staf Clercq;https://prabook.com/web/*/1865359;September;16;1884;;Everbeek, Brakel, Belgium;Belgium;;;;;;;October;22;1942;;Ghent, Arrondissement of Ghent, Belgium;;September 16, 1884;58;Belgium;Staf De Clercq was a Flemish nationalist collaborator, co-founder and leader of the Flemish nationalist Vlaamsch Nationaal Verbond. In 1936 his new party gained 13.6% of the votes in Flanders, and 14.7% in 1939. Welcoming of the Nazi German ...;politician
1865653;Stanimir Vukicevic;https://prabook.com/web/*/1865653;August;28;1948;;Istok, Serbia;Serbia;;;;;;;;;;;;;August 28, 1948;;Serbia;Stanimir Vuki?evi? is the current ambassador of Serbia to Bosnia and Herzegovina. He was previously the Ambassador Extraordinary and Plenipotentiary of the Republic of Serbia to the Republic of Croatia. During the 1990s he worked in Mogadishu and ...;politician,diplomat
1865812;Stanislav Nikolaenko;https://prabook.com/web/*/1865812;February;9;1956;;Kirovograd region;Ukraine//Soviet Union;;;;;Doktor Nauk in Pedagogy;;;;;;;Justice Party;February 9, 1956;;Ukraine;Stanislav Nikolaevich Nikolaenko is a Ukrainian statesman and politician. Acting Rector of the National University of Life and Environmental Sciences of Ukraine. Leader of United Left and Peasants. Head of Public Council of Educators and Researches ...;politician,deputy head,professor of agricultural mechanization
1866036;Stanislaw Dubois;https://prabook.com/web/*/1866036;January;;1901;;Warsaw, Masovian Voivodeship, Poland;Poland;;;;;;;August;21;1942;;Auschwitz concentration camp, Lesser Poland Voivodeship, Nazi Germany;Polish Socialist Party;January 9, 1901;41;Poland;"Stanis?aw J?zef Dubois was a Polish journalist and political activist in the Second Polish Republic, member of the left-wing Polish Socialist Party as well as the Youth Organisation of the Workers"" University Society. He took part in the Third ...";politician,journalist
1866049;Stanislaw Kociolek;https://prabook.com/web/*/1866049;March;3;1933;;;Poland;;;University of Warsaw;;;;October;1;2015;;;Polish United Workers' Party;March 3, 1933;82;Poland;"Stanis?aw Kocio?ek, often referred to as the ""butcher of Tri-City"", was a Communist official who served as deputy prime minister of Poland for six months in 1970. Kocio?ek personally approved the Polish United Workers"" Party (PZPR) order issued with ...";politician,diplomat,journalist
1866412;Stan Saylor;https://prabook.com/web/*/1866412;;;1955;;;United States of America;;;"""Indiana University of Pennsylvania""";;;;;;;;;Republican Party;March 3, 1955;;United States;"Stanley East. ""Stan"" Saylor is a Republican member of the Pennsylvania House of Representatives for the 94th District and was elected in 1992. After the 2008 election, Saylor was elected the Republican Policy Committee Chairman. Following the 2010 ...";politician
1867004;Stavros Theodorakis;https://prabook.com/web/*/1867004;;;1963;;Drapanias, Greece;Greece;;;;;;;;;;;;The River;1963;;Greece;Stavros Theodorakis is a Greek journalist and politician. He leads the party To Potami (The River). Born in 1963 in Drapanias near Chania on the island of Crete, Theodorakis was raised in Agia Varvara, western Attica. His career as a journalist ...;politician,journalist
1867114;Stefan Sofiyanski;https://prabook.com/web/*/1867114;November;7;1951;;Sofia, Sofia City Province, Bulgaria;Bulgaria;;Bulgarian Orthodox Church;;;;;;;;;;Union of Democratic Forces;November 7, 1951;;Bulgaria;Stefan Antonov Sofiyanski has been a leading member of the Union of Democratic Forces in Bulgaria. He served as interim Prime Minister in 1997 and was a three-term Mayor of Sofia. A statistics graduate from the Karl Marx Higher Institute of ...;politician,mayor
1867144;Stefan Birkner;https://prabook.com/web/*/1867144;April;12;1973;;M?nsterlingen, Thurgau, Switzerland;Germany;;;;;doctoral degree;;;;;;;Free Democratic Party;April 12, 1973;;Germany;Stefan Birkner is a German politician for the Free Democratic Party. He was elected to the Lower Saxon Landtag in 2008. However, in February 2008 he left the Landtag to become a state secretary for the State Minister of the Environment in the second ...;politician,jurist
1867338;Stefan Kaufmann;https://prabook.com/web/*/1867338;August;21;1969;;Stuttgart, Stuttgart Government Region, Germany;Germany;;Catholic Church;"""University of T?bingen""";;;;;;;;;Christian Democratic Party;August 21, 1969;;Germany;Stefan Kaufmann is a German politician and member of the Christian Democratic Union. He received his Abitur in 1989 at the Solitude-Gymnasium and served during his Zivildienst at the Diakonisches Werk W?rttemberg. Afterwards, he worked as a ...;politician,lawyer
1867441;Stefan Meller;https://prabook.com/web/*/1867441;July;4;1942;;Lyon, Urban Community of Lyon, France;Poland;;;University of Warsaw;;;;February;4;2008;;Warsaw, Masovian Voivodeship, Poland;Polish United Workers' Party;July 4, 1942;65;Poland;Stefan Meller was a Polish diplomat and academician. He served as foreign minister of Poland from 31 October 2005, to 9 May 2006, in the cabinet of Kazimierz Marcinkiewicz. Meller was a graduate from the faculty of history of the University of Warsaw.;politician,diplomat,historian
